name,count
application/wps-office.pdf,1
application/x-001-compressed,1
application/x-awk,1
application/x-bzip-compressed-tar,1
application/x-chimera,1
application/x-compress,1
application/x-dna,1
application/x-dtbncx+xml,1
application/x-empty,1
application/x-endnote-connect,1
application/x-extension-fcstd,1
application/x-fasta+txt,1
application/x-fityk,1
application/x-futuresplash,1
application/x-gameboy-rom,1
application/x-gretldata,1
application/x-gtar-compressed,1
application/x-iwork-pages-sffpages,1
application/x-jdf,1
application/x-jmp-report,1
application/x-lzh-compressed,1
application/x-maker,1
application/x-maple-worksheet,1
application/x-ns-proxy-autoconfig,1
application/x-osptracker,1
application/x-pkcs12,1
application/x-python-bytecode,1
application/x-python-code,1
application/x-qgis-project-container,1
application/x-qtiplot,1
application/x-raw-disk-image,1
application/x-ruby,1
application/x-sas-output,1
application/x-stata-15,1
application/x-stuffitx,1
application/x-swc,1
application/x-tar-compressed,1
application/x-tar-gz,1
application/x-tex-pk,1
application/x-troff-me,1
application/x-virtualbox-ova,1
application/x-wine-extension-opj,1
application/x-wine-extension-ztq,1
application/x-wine-extension-ztt,1
application/x-wtt,1
application/xhtml+xml;charset=UTF-8,1
application/yaml,1
application/zlib,1
application/zstd,1
audio/wave,1
audio/x-aac,1
audio/x-ape,1
audio/x-matroska,1
audio/x-sd2,1
biosequence/phylip,1
chemical/seq-na-genbank,1
chemical/x-cml,1
chemical/x-embl-dl-nucleotide,1
chemical/x-fastq,1
chemical/x-jcamp-dx,1
chemical/x-sdlfile,1
chemical/x-vmd,1
image/dng,1
image/g3fax,1
image/jpeg2000,1
image/pdf,1
image/tiff+zip,1
image/x-applix-graphics,1
image/x-mrsid-image,1
image/x-pict,1
model/gltf-binary,1
model/x.stl-binary,1
multipart/related,1
test/42,1
text/calendar;charset=UTF-8,1
text/html; charset: utf-8; charset=utf-8,1
text/html; charset=us-ascii,1
text/prs.lines.tag,1
text/r,1
text/richtext,1
text/sis,1
text/unknown,1
text/vnd.in3d.3dml,1
text/x-c++hdr,1
text/x-common-lisp,1
text/x-csl,1
text/x-emacs-lisp,1
text/x-go,1
text/x-haxe,1
text/x-jmp-script,1
text/x-julia,1
text/x-maximasession,1
text/x-moz-deleted,1
text/x-r-doc,1
text/x-sas-syntax;charset=US-ASCII,1
text/x-tcl,1
text/x-troff-me,1
text/xml;charset=UTF-8,1
video/h264,1
video/mpeg4,1
video/x-dv,1
video/x-smv,1
x-gis/x-shapefile,1
