name,count
application/vnd.shx,30
application/macbinary,29
application/x-aportisdoc,27
text/x-markdown,26
application/pkix-attr-cert,26
audio/mod,26
text/x-spss-syntax; charset=UTF-8,26
text/x-web-markdown,26
text/x-asm,25
application/x-ms-shortcut,25
application/vnd.llamagraphics.life-balance.exchange+xml,24
application/vnd.openxmlformats,24
application/vnd.wolfram.nb,24
image/rwl,24
application/xslt+xml,24
application/x-wais-source,24
application/vnd.sun.xml.calc.template,23
application/x-font-woff,23
application/x-123,23
application/pkcs7-signature,22
application/x-mspublisher,22
application/x-dbase,22
application/vnd.ms-htmlhelp,21
application/x-director,21
text/x-chdr,21
application/x-webarchive,21
application/x-zip,21
application/json; charset=utf-8,21
application/x-spss-sps,21
application/rat-file,20
application/x-font-type1,20
text/x-uri,20
application/vnd.snesdev-page-table,19
audio/vnd.dts,19
video/vnd.dlna.mpeg-tts,19
application/morphographx.mgxm,19
application/x-download,19
application/yaml,19
application/x-jmp-data,19
audio/mp4,19
application/fdt+xml,18
application/vnd.dynageo,18
text/directory,18
application/vnd,18
text/x-r-doc,17
application/vnd.google-apps.document,17
application/x-pdf,17
text/x-c++src,17
application/x-sas-transport,17
application/sql,17
application/vnd.wm.igor.pxp,17
application/vnd.openxmlformats-officedocument.wordprocessingml.d,16
application/java-serialized-object,16
text/x-bibtex,16
application/x-bibtex,16
audio/audible,16
text/rdf,15
image/vnd.microsoft.icon,15
model/iges,15
application/Groundwater Level Data Viewer,15
text/csv; charset=utf-8,15
application/WFS,15
text/x-perl-script,14
chemical/x-gamess-input,14
application/x-sas-log,14
application/x-iwork-keynote-sffnumbers,14
video/x-flv,14
application/x-cfs-compressed,14
application/x-python-code,14
multipart/mixed,14
image/jpg,14
application/x-archive,14
application/xlsx,14
text/x-expect,13
application/x-docker-file,13
image/png;charset=UTF-8,13
application/jsonl,13
text/x-makefile,13
application/x-turtle,13
application/x-stuffit,13
chemical/x-mopac-input,12
application/vnd.wolfram.mathematica,12
application/aspx,12
application/vnd.google-earth,12
application/vnd.Kinar,12
text/x-jmp-script,12
image/svg,12
"text/html; charset=""utf-8""",12
image/x-raw-panasonic,12
application/x-jmp-report,12
application/vnd.snapgene.dna,12
model/mesh,12
application/vnd.ms-office,12
audio/vnd.dlna.adts,11
application/x-ruby,11
application/tar,11
application/vnd.google-earth.kmz+xml,11
text/x-stata-syntax; charset=UTF-8,11
image/x-icon,11
application/docx,11
application/x-msi,11
application/vnd.openxmlformats-officedocument.spreadsheetml.template,11
application/x-wine-extension-do,11
text/html; subtype=emikat,10
application/xls; charset=utf-8,10
application/vnd.ms-fontobject,10
audio/x-ape,10
application/x-itunes-itlp,10
video/x-smv,10
application/force-download,10
binary/octet-stream,10
image/tiff; application=geotiff,10
application/vnd.openxmlformats-officedocument.spreadsheetml.shee,10
application/jsv,10
application/xml;charset=UTF-8,10
application/x-javascript,10
text/x-qml,9
text/x-julia,9
test/42,9
application/WMTS,9
text/asp,9
application/x-tika-ooxml,9
application/xml+gml,9
application/vnd.openxmlformats-officedocument.presentationml.slideshow,9
application/haansoftdocx,9
zip/shp,9
biosequence/fasta,9
text/x-common-lisp,8
chemical/seq-na-genbank,8
application/x-sas-output,8
application/mbox,8
application/vnd.mcd,8
application/vnd.ms-access,8
image/x-eps,8
application/vnd.inquisit.data,8
image/x-lwo,8
application/vnd.ms-pkistl,8
application/>octet-stream,7
application/x-apple-diskimage,7
application/mx20,7
api/json,7
application/vnd.proteus.magazine,7
application/rpki-ghostbusters,7
application/vnd.android.package-archive,7
application/vnd.hdt,7
application/nx,7
image/x-hdr,7
model/example,6
image/example,6
application/x-iwork-numbers-sffnumbers,6
application/vnd.afpc.modca-overlay,6
text/html;charset=ISO-8859-1,6
application/vnd.sqlite3,6
application/vnd.epson.msf,6
text/x-sql,6
application/vnd.mobius.daf,6
application/kmz,6
application/7-zip,6
application/vnd.eszigno3+xml,6
application/tsv,6
chemical/x-embl-dl-nucleotide,6
application/xqgis,6
application/x-ms-wmz,5
application/mx22,5
application/x-python,5
chemical/x-sdlfile,5
application/x-csh,5
text/x-haxe,5
application/json;charset=UTF-8,5
application/vnd.ms-outlook,5
application/x-gzip-compressed,5
application/x-rss+xml,5
image/x-tga,5
text/csv;charset=UTF-8,5
application/vnd.ms-officetheme,5
application/nc,5
